task_name,task_family,id,definition,inputs,targets
task888_reviews_classification,Sentiment Analysis,task888-3ad0924ad29b47379908bf81c9b092f3,"Classify given movie review into two categories: positive, or negative based on its content.","one long , numbing action sequence made up mostly of routine stuff yuen has given us before .",negative
task888_reviews_classification,Sentiment Analysis,task888-31d1f082ce304f4cb3476b73ebfb422c,"Classify given movie review into two categories: positive, or negative based on its content.",horns and halos benefits from serendipity but also reminds us of our own responsibility to question what is told as the truth .,positive
task888_reviews_classification,Sentiment Analysis,task888-0e8f0859effe401390738fc0cd196f77,"Classify given movie review into two categories: positive, or negative based on its content.","partway through watching this saccharine , easter-egg-colored concoction , you realize that it is made up of three episodes of a rejected tv show .",negative
task888_reviews_classification,Sentiment Analysis,task888-caa1e26e9f7645ed92535c1fb18d85d6,"Classify given movie review into two categories: positive, or negative based on its content.","for a movie audience , the hours doesn't connect in a neat way , but introduces characters who illuminate mysteries of sex , duty and love .",positive
task888_reviews_classification,Sentiment Analysis,task888-987d4b4d54584c80b32b4a59edf45f5b,"Classify given movie review into two categories: positive, or negative based on its content.",a thought-provoking picture .,positive
task888_reviews_classification,Sentiment Analysis,task888-ff3bd93680fc468a9206ced7a590bf41,"Classify given movie review into two categories: positive, or negative based on its content.","for a film about action , ultimate x is the gabbiest giant-screen movie ever , bogging down in a barrage of hype .",negative
task888_reviews_classification,Sentiment Analysis,task888-c51b8ce5377e4f69bdad244b62ede193,"Classify given movie review into two categories: positive, or negative based on its content.","this isn't a stand up and cheer flick ; it's a sit down and ponder affair . and thanks to kline's superbly nuanced performance , that pondering is highly pleasurable .",positive
task888_reviews_classification,Sentiment Analysis,task888-be2377e28b2743fda304ced0c455c38c,"Classify given movie review into two categories: positive, or negative based on its content.","sweet home alabama is one dumb movie , but its stupidity is so relentlessly harmless that it almost wins you over in the end .",negative
task888_reviews_classification,Sentiment Analysis,task888-a2f4b0ebf9cd4ff9aa0dfdd1c4c4b463,"Classify given movie review into two categories: positive, or negative based on its content.","remarkable for its excellent storytelling , its economical , compressed characterisations and for its profound humanity , it's an adventure story and history lesson all in one .",positive
task888_reviews_classification,Sentiment Analysis,task888-467b65963462492d9a5eb1c0eacf4137,"Classify given movie review into two categories: positive, or negative based on its content.",gondry's direction is adequate . . . but what gives human nature its unique feel is kaufman's script .,positive
task888_reviews_classification,Sentiment Analysis,task888-3046ad2e7d7248489e514646869b84ab,"Classify given movie review into two categories: positive, or negative based on its content.",a decent-enough nail-biter that stands a good chance of being the big hit franklin needs to stay afloat in hollywood .,positive
task888_reviews_classification,Sentiment Analysis,task888-02c10c4f7f554321a27939c80d191cca,"Classify given movie review into two categories: positive, or negative based on its content.","from a deceptively simple premise , this deeply moving french drama develops a startling story that works both as a detailed personal portrait and as a rather frightening examination of modern times .",positive
task888_reviews_classification,Sentiment Analysis,task888-1ad7d33ce95e4f56a6db0827dc7cfab7,"Classify given movie review into two categories: positive, or negative based on its content.",an instant candidate for worst movie of the year .,negative
task888_reviews_classification,Sentiment Analysis,task888-d1eef07e780540a7989d9d1437a7622e,"Classify given movie review into two categories: positive, or negative based on its content.",generic thriller junk . teens only .,negative
task888_reviews_classification,Sentiment Analysis,task888-d30c766e2bd44d138c49c6f113d838f2,"Classify given movie review into two categories: positive, or negative based on its content.","watching these two actors play against each other so intensely , but with restraint , is a treat .",positive
task888_reviews_classification,Sentiment Analysis,task888-923829cf7c684c29838da9340e8468a5,"Classify given movie review into two categories: positive, or negative based on its content.",never once predictable .,positive
task888_reviews_classification,Sentiment Analysis,task888-1cd2d5317ebe45f5a80ec3e9bd25b5a5,"Classify given movie review into two categories: positive, or negative based on its content.","if cinema had been around to capture the chaos of france in the 1790's , one imagines the result would look like something like this .",positive
task888_reviews_classification,Sentiment Analysis,task888-18e6732c97b842498111660e45cfa820,"Classify given movie review into two categories: positive, or negative based on its content.","the film is beautifully mounted , but , more to the point , the issues are subtly presented , managing to walk a fine line with regard to the question of joan's madness .",positive
task888_reviews_classification,Sentiment Analysis,task888-42515c8ba24f4318b79ad3a63e2a7b6b,"Classify given movie review into two categories: positive, or negative based on its content.","unfortunately , it appears that [jackie] chan's us influence is starting to show in his hong kong films .",positive
task888_reviews_classification,Sentiment Analysis,task888-c825c72a456b41a48e4903237ae3b222,"Classify given movie review into two categories: positive, or negative based on its content.",fisher has bared his soul and confronted his own shortcomings here in a way . . . that feels very human and very true to life .,positive
task888_reviews_classification,Sentiment Analysis,task888-1de39a7c85f5465da2da4ce5c737df34,"Classify given movie review into two categories: positive, or negative based on its content.","it feels like very light errol morris , focusing on eccentricity but failing , ultimately , to make something bigger out of its scrapbook of oddballs .",negative
task888_reviews_classification,Sentiment Analysis,task888-85596901f30d41bda5a200ce0f7f2cdf,"Classify given movie review into two categories: positive, or negative based on its content.",my own minority report is that it stinks .,negative
task888_reviews_classification,Sentiment Analysis,task888-df7a29beb42949319e14cfc7b66843d2,"Classify given movie review into two categories: positive, or negative based on its content.",the innocence of holiday cheer ain't what it used to be .,negative
task888_reviews_classification,Sentiment Analysis,task888-842a1287f0a5473aaba06103fcf378eb,"Classify given movie review into two categories: positive, or negative based on its content.","there are some laughs in this movie , but williams' anarchy gets tiresome , the satire is weak .",negative
task888_reviews_classification,Sentiment Analysis,task888-06aa3aa61cdf41d5ac355600d0cc5f93,"Classify given movie review into two categories: positive, or negative based on its content.","as much as i laughed throughout the movie , i cannot mount a cogent defense of the film as entertainment , or even performance art , although the movie does leave you marveling at these guys' superhuman capacity to withstand pain .",negative
task888_reviews_classification,Sentiment Analysis,task888-0b203029bfc94811a4c44a974c4bef24,"Classify given movie review into two categories: positive, or negative based on its content.","the high-concept scenario soon proves preposterous , the acting is robotically italicized , and truth-in-advertising hounds take note : there's very little hustling on view .",negative
task888_reviews_classification,Sentiment Analysis,task888-2969401e18b146e6a624465bd30bbf14,"Classify given movie review into two categories: positive, or negative based on its content.",the most compelling wiseman epic of recent years .,positive
task888_reviews_classification,Sentiment Analysis,task888-bfb76cd8f920400da270e8e2ea72d1a5,"Classify given movie review into two categories: positive, or negative based on its content.","it wouldn't matter so much that this arrogant richard pryor wannabe's routine is offensive , puerile and unimaginatively foul-mouthed if it was at least funny .",negative
task888_reviews_classification,Sentiment Analysis,task888-02ba86ac52a14e4e8736e93a734145bf,"Classify given movie review into two categories: positive, or negative based on its content.",worth a look as a curiosity .,positive
task888_reviews_classification,Sentiment Analysis,task888-d2ec3e9617a2476b973f8e47c128a135,"Classify given movie review into two categories: positive, or negative based on its content.",ozpetek's effort has the scope and shape of an especially well-executed television movie .,positive
task888_reviews_classification,Sentiment Analysis,task888-f806ea0318f14f2895ce77cd98725bcd,"Classify given movie review into two categories: positive, or negative based on its content.",i thought my own watch had stopped keeping time as i slogged my way through clockstoppers .,negative
task888_reviews_classification,Sentiment Analysis,task888-857c20af5dcc4b4caf745e144f1f1859,"Classify given movie review into two categories: positive, or negative based on its content.","the people in dogtown and z-boys are so funny , aggressive and alive , you have to watch them because you can't wait to see what they do next .",positive
task888_reviews_classification,Sentiment Analysis,task888-bac18a8334624bfb8330eca507c950f6,"Classify given movie review into two categories: positive, or negative based on its content.","most of the information has already appeared in one forum or another and , no matter how broomfield dresses it up , it tends to speculation , conspiracy theories or , at best , circumstantial evidence .",negative
task888_reviews_classification,Sentiment Analysis,task888-708a68d71df94872b96522d00667181c,"Classify given movie review into two categories: positive, or negative based on its content.","[a] soulless , stupid sequel . . .",negative
task888_reviews_classification,Sentiment Analysis,task888-859452bc6887473996a87b4ab6b31ca9,"Classify given movie review into two categories: positive, or negative based on its content.","a twisty , moody slice of southern gothic . . .",positive
task888_reviews_classification,Sentiment Analysis,task888-08a6b5d7a4e4493c9eeb747c7bac16f5,"Classify given movie review into two categories: positive, or negative based on its content.",a predictable and stereotypical little b-movie .,negative
task888_reviews_classification,Sentiment Analysis,task888-3c50511a59a14bfca50bf78d654d1708,"Classify given movie review into two categories: positive, or negative based on its content.",a cheap scam put together by some cynical creeps at revolution studios and imagine entertainment to make the suckers out there surrender $9 and 93 minutes of unrecoverable life .,negative
task888_reviews_classification,Sentiment Analysis,task888-e4928ec1c4d742b4ba6aecd947da7a70,"Classify given movie review into two categories: positive, or negative based on its content.","a deftly entertaining film , smartly played and smartly directed .",positive
task888_reviews_classification,Sentiment Analysis,task888-9d7efa347c6b4b1e903ca9b19f7a3f2c,"Classify given movie review into two categories: positive, or negative based on its content.",clare peploe's airless movie adaptation could use a little american pie-like irreverence .,negative
task888_reviews_classification,Sentiment Analysis,task888-9879cbf882ba49b6829c8528ea6c052a,"Classify given movie review into two categories: positive, or negative based on its content.","a gratingly unfunny groaner littered with zero-dimensional , unlikable characters and hackneyed , threadbare comic setups .",negative
task888_reviews_classification,Sentiment Analysis,task888-17f225d0ab9e4843adfe0ffc28efb0df,"Classify given movie review into two categories: positive, or negative based on its content.","it's not helpful to listen to extremist name-calling , regardless of whether you think kissinger was a calculating fiend or just a slippery self-promoter .",negative
task888_reviews_classification,Sentiment Analysis,task888-8307514159f14c25abd6047972266016,"Classify given movie review into two categories: positive, or negative based on its content.","there are moments in this account of the life of artist frida kahlo that are among cinema's finest this year . unfortunately , they're sandwiched in between the most impossibly dry account of kahlo's life imaginable .",positive
task888_reviews_classification,Sentiment Analysis,task888-26d4c00b62ad4bc6a065e2577c94405d,"Classify given movie review into two categories: positive, or negative based on its content.",a wannabe comedy of manners about a brainy prep-school kid with a mrs . robinson complex founders on its own preciousness -- and squanders its beautiful women .,negative
task888_reviews_classification,Sentiment Analysis,task888-1c92f70272834cb7a2d079beac572d5e,"Classify given movie review into two categories: positive, or negative based on its content.","watching this film , one is left with the inescapable conclusion that hitchens' obsession with kissinger is , at bottom , a sophisticated flower child's desire to purge the world of the tooth and claw of human power .",positive
task888_reviews_classification,Sentiment Analysis,task888-4a81072266cf47e996de5d0882867367,"Classify given movie review into two categories: positive, or negative based on its content.","a reasonably efficient mechanism , but it offers few surprises and finds its stars slumming in territory they should have avoided .",negative
task888_reviews_classification,Sentiment Analysis,task888-b93a4f5f6ff74ad091778edb23ddadf5,"Classify given movie review into two categories: positive, or negative based on its content.","the most remarkable ( and frustrating ) thing about world traveler , which opens today in manhattan , is that its protagonist , after being an object of intense scrutiny for 104 minutes , remains a complete blank .",negative
