task_name,task_family,id,definition,inputs,targets
task195_sentiment140_classification,Sentiment Analysis,task195-300f49ad07574e68a63fc576583cf139,"In this task, you are given a text from tweets. Your task is to classify given tweet text into two categories: 1) positive, and 2) negative based on its content.",@caramelflavored i don't think i introduced myself. i'm annie. sorry if i haven't responded back ,negative
task195_sentiment140_classification,Sentiment Analysis,task195-9c6c248af8d6407e802cd15c28e09595,"In this task, you are given a text from tweets. Your task is to classify given tweet text into two categories: 1) positive, and 2) negative based on its content.",im so exhausted ,negative
task195_sentiment140_classification,Sentiment Analysis,task195-e2e8513eb2d24676b04db6138fb10203,"In this task, you are given a text from tweets. Your task is to classify given tweet text into two categories: 1) positive, and 2) negative based on its content.",@radtonya what was the pic msg u sent me the other day? Sorry but my dated technology does not allow pic messages ,negative
task195_sentiment140_classification,Sentiment Analysis,task195-59e77662406942e989cf43ab071f6c6b,"In this task, you are given a text from tweets. Your task is to classify given tweet text into two categories: 1) positive, and 2) negative based on its content.","tough day... SAT IIs at 8:00, lifeguarding from 10-6 and then Spring Jam at 7:30.  When does it end?   btw, come to Spring Jam at LHS!!",positive
task195_sentiment140_classification,Sentiment Analysis,task195-2e9ea4223a7b4930b45a4299025b0123,"In this task, you are given a text from tweets. Your task is to classify given tweet text into two categories: 1) positive, and 2) negative based on its content.","@18_2 Hey, Thanks 4 The Advice &amp; Support ",positive
task195_sentiment140_classification,Sentiment Analysis,task195-88814ea089ad41c09f0a58e5618583c8,"In this task, you are given a text from tweets. Your task is to classify given tweet text into two categories: 1) positive, and 2) negative based on its content.",@yatiirockstar alolo.  i'm doing pretty well. yourself?,negative
task195_sentiment140_classification,Sentiment Analysis,task195-c53b67e04d91410ca3e3bff16e6ed3a3,"In this task, you are given a text from tweets. Your task is to classify given tweet text into two categories: 1) positive, and 2) negative based on its content.",@jeffgirton Thanks Jeff! I've heard you've been keeping my friends entertained today... ,positive
task195_sentiment140_classification,Sentiment Analysis,task195-6aaef7c663164c5180bbe75b568b2cb9,"In this task, you are given a text from tweets. Your task is to classify given tweet text into two categories: 1) positive, and 2) negative based on its content.",gdmornin everyone ,positive
task195_sentiment140_classification,Sentiment Analysis,task195-4c11332036034df1856e7a2f140efd8f,"In this task, you are given a text from tweets. Your task is to classify given tweet text into two categories: 1) positive, and 2) negative based on its content.",[Link] &lt;--- likes kitty pussy  call someone bahaha J/K or am i ask him  ?&gt;,negative
task195_sentiment140_classification,Sentiment Analysis,task195-a413b4563cf34f0694591a49d183faeb,"In this task, you are given a text from tweets. Your task is to classify given tweet text into two categories: 1) positive, and 2) negative based on its content.",@bradshawme the snow hit me in the eye and literally made me cry ,negative
