task_name,task_family,id,definition,inputs,targets
task1312_amazonreview_polarity_classification,Sentiment Analysis,task1312-33cb4484c8aa40138f369f43beaca265,"In this task, You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review.",We are returning this. It does not hold NERF bullets. The holster does not a hold the shown NERF gun once the child moves. It stays on only when standing still. Once he took a step it slipped right down to his shin. Not as advertised.,negative
task1312_amazonreview_polarity_classification,Sentiment Analysis,task1312-e72b5933c054451b964b65caf33660e3,"In this task, You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review.",Hated the fact that this product description noted that this product would be bubble free and it is not!! Used up both the protectors bubbled up. Completely unsatisfied!!!,negative
task1312_amazonreview_polarity_classification,Sentiment Analysis,task1312-b9c4b6010ba94131bf827dee862f19ab,"In this task, You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review.",Screen protectors are a must for any device that has a breakable front. I drop my phone a lot...... I’m a clutz. I also have weird ocd so when I apply a screen protector I will go crazy if it is not exact. The tray really helped out! I haven’t dropped my phone so I can’t say how it is durability wise. It arrived quickly.,positive
task1312_amazonreview_polarity_classification,Sentiment Analysis,task1312-6438d1159f6e40b2ab45d847c23174a7,"In this task, You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review.","This is one of the worst products I've gotten from Amazon to date. I haven't even had this four weeks and it already is worn beyond repair. It pops off my leg as the two straps no longer stick to the velcro. It slides down my leg and is unusable - I now need to buy another one. Don't purchase this if you're looking for long-term, reliable support.",negative
task1312_amazonreview_polarity_classification,Sentiment Analysis,task1312-e55c2d97106d4a6dbcf1b12a851c1307,"In this task, You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review.",I'm not a CAT Lover bought it for a Cat Lover. Turns out I Found it funny and a good read too. Would recommend for anyone who wants a good laugh at some funny Animals.,positive
task1312_amazonreview_polarity_classification,Sentiment Analysis,task1312-2bd7b5bdc5fa4f64b2eed35828149b05,"In this task, You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review.","I am so disappointed. This shirt is supposed to be neon pink and it doesn’t even come close. It is really ugly. It doesn’t look like the picture at all. I need it for school on Friday, so I don’t have enough time to order anything else.",negative
task1312_amazonreview_polarity_classification,Sentiment Analysis,task1312-d54d8a1799424492b2b1a03a3a091efa,"In this task, You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review.",I was able to use only half of the balloon on this package. Most balloons came ripped or with a small hole. and the clear quality on this balloon is bad . very disappointed,negative
task1312_amazonreview_polarity_classification,Sentiment Analysis,task1312-9c98fa57e722480694bdc4a98e6bda45,"In this task, You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review.",I love these expandable hoses.. It is easy to screw on to the faucet and remove too. It's made very well compared to others that I had.. I really like that it's blue and blends into the exterior wall..This is the best made one that I have bought...,positive
task1312_amazonreview_polarity_classification,Sentiment Analysis,task1312-8761179d6e6a474aa903199a040d7503,"In this task, You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review.",You cannot beat the price- I bought a nice rug pad and I’m just tickled with the look and feel. I have dogs and I think this rug will wear and hold up just perfect!,positive
task1312_amazonreview_polarity_classification,Sentiment Analysis,task1312-24c04ef0213344ebadf0d6bb16004b27,"In this task, You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review.",I finally bought a box of these after tiring of hunting for the little plastic ones that come with shirts. There is a range 3 sizes and a good amount of each. This is a staple every shirt wearer should own.,positive
task1312_amazonreview_polarity_classification,Sentiment Analysis,task1312-e71f34d221cb45178522b7b0a25c3feb,"In this task, You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review.","What a waste of money! I bought this when i had a few rough nights with my 6 month old and I was exhausted and desperate, thinking there would be some good recommendations for helping the baby sleep. She basically divides the book into two parts and uses 2 different acronyms to describe them. But basically theres nothing innovative here. The first part is for “good” babies. Basically fading techniques to gradually take away your babies sources of comfort until they comply. The second part is for those naughty babies who actually need more help getting to sleep. For that she recommends the extinction method, softened up by a new name and some witty jokes. The author seems like a very selfish person. She recommends sleep training at 2 months old. Most pediatricians wouldn’t recommend that. Im really happy I listened to my gut and stopped reading",negative
task1312_amazonreview_polarity_classification,Sentiment Analysis,task1312-218d763bcedb4109b103fdcaa13b8553,"In this task, You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review.",Piece of garbage tightened it up to start stretching and the joint broke first turn. Wasn’t going crazy on it as soon as a little pressure got on the shoe it broke. Tried the second one and the same happened. Don’t waste your time or money.,negative
task1312_amazonreview_polarity_classification,Sentiment Analysis,task1312-1867c08bbc554557876d9316ea713b89,"In this task, You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review.","So far, so good. I've only had it in my GH for a little over a month now. I seems pretty resilient and let's in good light. Only time will tell how great/long it last in the mile high city. I will make another review at the end of this growing season.",positive
task1312_amazonreview_polarity_classification,Sentiment Analysis,task1312-cb2624bd016645578c4f92731a99f0d8,"In this task, You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review.",I never thought this product will be that perfect. The quality is phenomenal and it can be easily connected to the phone through an app on the App Store either on iPhone or Samsung. Counts the steps and works absolutely amazing so accurate and helps me a lot with my life as I work out a lot and it saves a lot of time for me I highly recommend buying this product it’s totally worth the money.,positive
task1312_amazonreview_polarity_classification,Sentiment Analysis,task1312-c952c2cbdea2486c88b6a2a515873857,"In this task, You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review.","Doesn’t work at all. Tried 20 different games, tried to clean, for an hour tried turning on and off. Dead on arrival. You would think someone would at least test these before selling, shipping, and then dealing with returns.",negative
task1312_amazonreview_polarity_classification,Sentiment Analysis,task1312-9ad1830b6e134aeaac2ae7751d120209,"In this task, You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review.","I know it's tough, but do spend $20+ more on a better battery that will charge; hunt eBay if need be. Don't waste your time with trying to use that stupid warranty, by that time you have paid to ship it to them, most likely, and they sent it back, you won't be able to send it back to Amazon.",negative
task1312_amazonreview_polarity_classification,Sentiment Analysis,task1312-5a956a40bd474dfc84b8bc4c16f36a04,"In this task, You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review.",DO NOT BUY!!! DOES NOT FIT ANY ANDROID/SAMSUNG PRODUCTS!! This does not fit any of my Droid products. It does not fit my Samsung phone. The end piece is made incorrectly,negative
task1312_amazonreview_polarity_classification,Sentiment Analysis,task1312-c81f981177784c19a33abb28780ab1ad,"In this task, You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review.","I'm on my second bottle and really like this product. It tightens the skin under my eyes, reduces fine lines and generally makes them look younger, fresher, practically wrinkle free (and I'm almost 58 years old). I will definitely keep using this product!",positive
task1312_amazonreview_polarity_classification,Sentiment Analysis,task1312-af3929a1d0194ab586562ff47589ecb0,"In this task, You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review.","This is the neatest light bulb I've ever had! It fits perfectly into my small chandelier over my bed and it lights up the ceiling so nicely. It had different settings, changed by turning the light off and in again. We like the simulated fire light. It's fascinating to watch and we've enjoyed it. It's a neat change to just regular bulbs! Options, options, options!!",positive
task1312_amazonreview_polarity_classification,Sentiment Analysis,task1312-0b646109b7264a68b2386b9ac0830d32,"In this task, You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review.","Finally, a mattress pad of good quality that fits properly and is the perfect thickness. After trying two other mattress pads and being disappointed, this one is great!",positive
