task_name,task_family,id,definition,inputs,targets
task833_poem_sentiment_classification,Sentiment Analysis,task833-7d003c64e1d741aa80296b37d6acf009,"In this task, you need to identify the sentiment of the given sentence as one of 'positive' or 'negative.","blood-dipped arrows, which savages make",negative
task833_poem_sentiment_classification,Sentiment Analysis,task833-181b6b2e53bc4e13970ba1be74ad6e18,"In this task, you need to identify the sentiment of the given sentence as one of 'positive' or 'negative.","by death's frequented ways,",negative
task833_poem_sentiment_classification,Sentiment Analysis,task833-efb91f38a4fe493b9a72a3622dcd447d,"In this task, you need to identify the sentiment of the given sentence as one of 'positive' or 'negative.","the soul with sweetness, and like an adept",positive
task833_poem_sentiment_classification,Sentiment Analysis,task833-d0fd8687ff4042c28a9ce75140dd944c,"In this task, you need to identify the sentiment of the given sentence as one of 'positive' or 'negative.","science and song, and all the arts that please;",positive
task833_poem_sentiment_classification,Sentiment Analysis,task833-f5838723774644ca89d1be57913e0354,"In this task, you need to identify the sentiment of the given sentence as one of 'positive' or 'negative.","sometimes towards heav'n and the full-blazing sun,",positive
task833_poem_sentiment_classification,Sentiment Analysis,task833-3c9be068359341df82a9a8ad660b65a4,"In this task, you need to identify the sentiment of the given sentence as one of 'positive' or 'negative.",but all of them are bad enough,negative
task833_poem_sentiment_classification,Sentiment Analysis,task833-8c31e7533cac46aab0a602b8c6adf7b8,"In this task, you need to identify the sentiment of the given sentence as one of 'positive' or 'negative.","here comes the cripple jane!""  and by a fountain's side",negative
task833_poem_sentiment_classification,Sentiment Analysis,task833-af0c1e890da54e70bee124a80b691c68,"In this task, you need to identify the sentiment of the given sentence as one of 'positive' or 'negative.","his regal seat, surrounded by his friends.",positive
task833_poem_sentiment_classification,Sentiment Analysis,task833-b6ad2cf9943f4e5fbb7aaa7ce736becd,"In this task, you need to identify the sentiment of the given sentence as one of 'positive' or 'negative.",yet was this period my time of joy:,positive
task833_poem_sentiment_classification,Sentiment Analysis,task833-471249eba11d41f4813b60f7e21df7ec,"In this task, you need to identify the sentiment of the given sentence as one of 'positive' or 'negative.",that wisdom's lips seemed borrowing friendship's heart.,positive
task833_poem_sentiment_classification,Sentiment Analysis,task833-1f5f5e31c4b84935a470347f88a74c50,"In this task, you need to identify the sentiment of the given sentence as one of 'positive' or 'negative.",but your dead-ripe ones ranges high fer treatin' nothun bretherin;,negative
task833_poem_sentiment_classification,Sentiment Analysis,task833-d67aa1e241c04a839dc8d8d6866df7d4,"In this task, you need to identify the sentiment of the given sentence as one of 'positive' or 'negative.","then thro’ his breast his fatal sword he sent,",negative
