task_name,task_family,id,definition,inputs,targets
task363_sst2_polarity_classification,Sentiment Analysis,task363-59f5d1353b4b4e539f62325c06c6563c,"In this task, you are given sentences from movie reviews. The task is to classify a sentence as ""POS"" if the sentiment of the sentence is positive or as ""NEG"" if the sentiment of the sentence is negative","The script is smart , not cloying .",POS
task363_sst2_polarity_classification,Sentiment Analysis,task363-522d1645401f4631aea2159f6b2fb8a3,"In this task, you are given sentences from movie reviews. The task is to classify a sentence as ""POS"" if the sentiment of the sentence is positive or as ""NEG"" if the sentiment of the sentence is negative",The reason to see `` Sade '' lay with the chemistry and complex relationship between the marquis ( Auteil ) and Emilie ( Le Besco ) .,POS
task363_sst2_polarity_classification,Sentiment Analysis,task363-f5426c0fba204438bbe37e761eafb97f,"In this task, you are given sentences from movie reviews. The task is to classify a sentence as ""POS"" if the sentiment of the sentence is positive or as ""NEG"" if the sentiment of the sentence is negative",This submarine drama earns the right to be favorably compared to Das Boot .,POS
task363_sst2_polarity_classification,Sentiment Analysis,task363-c384eea801be4820ad5f56a10e2d915d,"In this task, you are given sentences from movie reviews. The task is to classify a sentence as ""POS"" if the sentiment of the sentence is positive or as ""NEG"" if the sentiment of the sentence is negative",The things this movie tries to get the audience to buy just wo n't fly with most intelligent viewers .,NEG
task363_sst2_polarity_classification,Sentiment Analysis,task363-cfcfe785dbdb47dcb66daea9326e5b68,"In this task, you are given sentences from movie reviews. The task is to classify a sentence as ""POS"" if the sentiment of the sentence is positive or as ""NEG"" if the sentiment of the sentence is negative","Spectacularly beautiful , not to mention mysterious , sensual , emotionally intense , and replete with virtuoso throat-singing .",POS
task363_sst2_polarity_classification,Sentiment Analysis,task363-01138795631a4c5fa7a2ac7f64873b9f,"In this task, you are given sentences from movie reviews. The task is to classify a sentence as ""POS"" if the sentiment of the sentence is positive or as ""NEG"" if the sentiment of the sentence is negative","The bodily function jokes are about what you 'd expect , but there are rich veins of funny stuff in this movie .",POS
task363_sst2_polarity_classification,Sentiment Analysis,task363-efd1872e8fbb455d8afe36440bc5697b,"In this task, you are given sentences from movie reviews. The task is to classify a sentence as ""POS"" if the sentiment of the sentence is positive or as ""NEG"" if the sentiment of the sentence is negative","This is a visually stunning rumination on love , memory , history and the war between art and commerce .",POS
task363_sst2_polarity_classification,Sentiment Analysis,task363-735716520d8b47ffb1c12b97de2a8f87,"In this task, you are given sentences from movie reviews. The task is to classify a sentence as ""POS"" if the sentiment of the sentence is positive or as ""NEG"" if the sentiment of the sentence is negative",Meant to reduce Blake 's philosophy into a tragic coming-of-age saga punctuated by bursts of animator Todd McFarlane 's superhero dystopia .,POS
task363_sst2_polarity_classification,Sentiment Analysis,task363-d9e6647f2224443f9371007dbb3f7e1f,"In this task, you are given sentences from movie reviews. The task is to classify a sentence as ""POS"" if the sentiment of the sentence is positive or as ""NEG"" if the sentiment of the sentence is negative",Bad company .,NEG
task363_sst2_polarity_classification,Sentiment Analysis,task363-a28ef008fe7949a68131370559279d45,"In this task, you are given sentences from movie reviews. The task is to classify a sentence as ""POS"" if the sentiment of the sentence is positive or as ""NEG"" if the sentiment of the sentence is negative",What 's missing in Murder by Numbers is any real psychological grounding for the teens ' deviant behaviour .,NEG
